2025-12-19 23:00:02,177 | INFO | ======================================================================
2025-12-19 23:00:02,177 | INFO | IoS-001 BULLETPROOF DAILY PRICE INGEST
2025-12-19 23:00:02,186 | INFO | ======================================================================
2025-12-19 23:00:02,186 | INFO | CEO Directive: CD-IOS-001-DAILY-INGEST-BULLETPROOF-001
2025-12-19 23:00:02,186 | INFO | Executor: STIG (EC-003)
2025-12-19 23:00:02,186 | INFO | Time: 2025-12-19T22:00:02.177306+00:00
2025-12-19 23:00:02,186 | INFO | Asset Class Filter: EQUITY
2025-12-19 23:00:02,186 | INFO | Dry Run: False
2025-12-19 23:00:02,186 | INFO | Canonical Source: fhq_market.prices (ONLY)
2025-12-19 23:00:02,186 | INFO | ======================================================================
2025-12-19 23:00:02,252 | INFO | Found 421 canonical assets
2025-12-19 23:00:02,745 | INFO | ============================================================
2025-12-19 23:00:02,745 | INFO | ATTEMPTING ALPACA INGEST (Primary Provider)
2025-12-19 23:00:02,745 | INFO | Assets: 421, Rate limit: 200/min
2025-12-19 23:00:02,745 | INFO | ============================================================
2025-12-19 23:00:03,711 | WARNING |   [ABBV] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2025-12-19 23:00:04,335 | WARNING |   [ABNB] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2025-12-19 23:00:04,962 | WARNING |   [ABT] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2025-12-19 23:00:05,586 | WARNING |   [ADBE] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2025-12-19 23:00:06,237 | WARNING |   [ADI] SIP subscription error (5 consecutive)
2025-12-19 23:00:06,237 | WARNING |   EARLY TERMINATION: Alpaca SIP subscription not available
2025-12-19 23:00:06,237 | WARNING |   Skipping remaining 414 Alpaca assets - will use fallback provider
2025-12-19 23:00:06,237 | INFO | Alpaca: Updated 0 assets, 419 remaining
2025-12-19 23:00:06,522 | INFO | ============================================================
2025-12-19 23:00:06,526 | INFO | ATTEMPTING YAHOO FINANCE INGEST (Fallback Provider)
2025-12-19 23:00:06,526 | INFO | Assets: 419, Using BATCH DOWNLOAD (efficient)
2025-12-19 23:00:06,527 | INFO | ============================================================
2025-12-19 23:00:06,528 | INFO |   Checking Yahoo Finance rate limit status...
2025-12-19 23:00:12,926 | ERROR | 
1 Failed download:
2025-12-19 23:00:12,926 | ERROR | ['AAPL']: YFRateLimitError('Too Many Requests. Rate limited. Try after a while.')
2025-12-19 23:00:12,977 | WARNING |   RATE LIMITED - Yahoo Finance is currently blocking requests
2025-12-19 23:00:12,977 | WARNING |   Skipping Yahoo and marking all assets as failed
2025-12-19 23:00:12,977 | INFO | Yahoo: Updated 0 assets, 419 remaining
2025-12-19 23:00:12,977 | INFO | ============================================================
2025-12-19 23:00:12,987 | INFO | ATTEMPTING TWELVEDATA EQUITY INGEST (Backup Provider)
2025-12-19 23:00:12,987 | INFO | Assets: 419, Rate limit: 7/min (90% of free tier)
2025-12-19 23:00:12,987 | INFO | Daily limit: 720 calls (90% of 800)
2025-12-19 23:00:12,987 | INFO | ============================================================
2025-12-19 23:00:12,987 | INFO |   Equity assets: 419, Non-equity: 0
2025-12-19 23:00:13,947 | WARNING |   [ABBV] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:00:23,427 | WARNING |   [ABNB] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:00:32,720 | WARNING |   [ABT] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:00:42,620 | WARNING |   [ADBE] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:00:52,054 | WARNING |   [ADI] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:01:09,935 | WARNING |   [ADSK] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:01:19,355 | WARNING |   [AEP] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:01:28,606 | WARNING |   [AFL] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:01:46,417 | WARNING |   [AIG] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:02:12,858 | WARNING |   [AKAM] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:02:56,412 | WARNING |   [ALB] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:03:05,609 | WARNING |   [ALL] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:03:31,954 | WARNING |   [AMAT] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:03:41,270 | WARNING |   [AMD] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:03:50,551 | WARNING |   [AMGN] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:04:00,289 | WARNING |   [AMT] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:04:09,631 | WARNING |   [AMZN] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:04:18,940 | WARNING |   [AON] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:04:28,338 | WARNING |   [APD] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:04:37,574 | WARNING |   [ASML] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:05:21,288 | WARNING |   [AVB] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:05:30,607 | WARNING |   [AVGO] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:05:39,882 | WARNING |   [AWK] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:05:49,138 | WARNING |   [AXP] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:06:07,055 | WARNING |   [AZO] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:06:16,313 | WARNING |   [BA] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:06:34,233 | WARNING |   [BAC] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:07:53,093 | WARNING |   [BKNG] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:08:02,685 | WARNING |   [BKR] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:08:12,048 | WARNING |   [BLK] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2025-12-19 23:08:21,381 | WARNING |   [BMW.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2025-12-19 23:08:30,849 | WARNING |   [BMY] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
