2026-01-08 23:00:02,452 | INFO | ======================================================================
2026-01-08 23:00:02,453 | INFO | IoS-001 BULLETPROOF DAILY PRICE INGEST
2026-01-08 23:00:02,453 | INFO | ======================================================================
2026-01-08 23:00:02,453 | INFO | CEO Directive: CD-IOS-001-DAILY-INGEST-BULLETPROOF-001
2026-01-08 23:00:02,454 | INFO | Executor: STIG (EC-003)
2026-01-08 23:00:02,454 | INFO | Time: 2026-01-08T22:00:02.452289+00:00
2026-01-08 23:00:02,454 | INFO | Asset Class Filter: EQUITY
2026-01-08 23:00:02,455 | INFO | Dry Run: False
2026-01-08 23:00:02,456 | INFO | Canonical Source: fhq_market.prices (ONLY)
2026-01-08 23:00:02,456 | INFO | ======================================================================
2026-01-08 23:00:02,458 | INFO | ======================================================================
2026-01-08 23:00:02,458 | INFO | IoS-001 BULLETPROOF DAILY PRICE INGEST
2026-01-08 23:00:02,459 | INFO | ======================================================================
2026-01-08 23:00:02,459 | INFO | CEO Directive: CD-IOS-001-DAILY-INGEST-BULLETPROOF-001
2026-01-08 23:00:02,459 | INFO | Executor: STIG (EC-003)
2026-01-08 23:00:02,460 | INFO | Time: 2026-01-08T22:00:02.458297+00:00
2026-01-08 23:00:02,460 | INFO | Asset Class Filter: FX
2026-01-08 23:00:02,461 | INFO | Dry Run: False
2026-01-08 23:00:02,461 | INFO | Canonical Source: fhq_market.prices (ONLY)
2026-01-08 23:00:02,461 | INFO | ======================================================================
2026-01-08 23:00:02,545 | INFO | Found 421 canonical assets
2026-01-08 23:00:02,545 | INFO | Found 24 canonical assets
2026-01-08 23:00:03,191 | INFO | ============================================================
2026-01-08 23:00:03,191 | INFO | ATTEMPTING ALPACA INGEST (Primary Provider)
2026-01-08 23:00:03,191 | INFO | Assets: 421, Rate limit: 200/min
2026-01-08 23:00:03,191 | INFO | ============================================================
2026-01-08 23:00:03,202 | INFO | ============================================================
2026-01-08 23:00:03,202 | INFO | ATTEMPTING ALPACA INGEST (Primary Provider)
2026-01-08 23:00:03,202 | INFO | Assets: 24, Rate limit: 200/min
2026-01-08 23:00:03,202 | INFO | ============================================================
2026-01-08 23:00:03,202 | INFO |   [1COV.DE] Stale (406.0h > 18h) - fetching
2026-01-08 23:00:03,202 | INFO |   [ABBV] Stale (22.0h > 18h) - fetching
2026-01-08 23:00:03,202 | INFO |   [AUDJPY=X] Stale (46.0h > 18h) - fetching
2026-01-08 23:00:03,211 | INFO |   [AUDUSD=X] Stale (46.0h > 18h) - fetching
2026-01-08 23:00:03,211 | INFO |   [CADJPY=X] Stale (46.0h > 18h) - fetching
2026-01-08 23:00:03,211 | INFO |   [CHFJPY=X] Stale (46.0h > 18h) - fetching
2026-01-08 23:00:03,211 | INFO |   [EURAUD=X] Stale (46.0h > 18h) - fetching
2026-01-08 23:00:03,211 | INFO |   [EURCHF=X] Stale (46.0h > 18h) - fetching
