2026-01-02 23:00:04,422 | INFO | ======================================================================
2026-01-02 23:00:04,422 | INFO | IoS-001 BULLETPROOF DAILY PRICE INGEST
2026-01-02 23:00:04,422 | INFO | ======================================================================
2026-01-02 23:00:04,422 | INFO | CEO Directive: CD-IOS-001-DAILY-INGEST-BULLETPROOF-001
2026-01-02 23:00:04,422 | INFO | Executor: STIG (EC-003)
2026-01-02 23:00:04,422 | INFO | Time: 2026-01-02T22:00:04.422348+00:00
2026-01-02 23:00:04,422 | INFO | Asset Class Filter: EQUITY
2026-01-02 23:00:04,422 | INFO | Dry Run: False
2026-01-02 23:00:04,422 | INFO | Canonical Source: fhq_market.prices (ONLY)
2026-01-02 23:00:04,422 | INFO | ======================================================================
2026-01-02 23:00:04,540 | INFO | Found 421 canonical assets
2026-01-02 23:00:05,533 | INFO | ============================================================
2026-01-02 23:00:05,533 | INFO | ATTEMPTING ALPACA INGEST (Primary Provider)
2026-01-02 23:00:05,533 | INFO | Assets: 421, Rate limit: 200/min
2026-01-02 23:00:05,533 | INFO | ============================================================
2026-01-02 23:00:07,003 | WARNING |   [BRK.B] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2026-01-02 23:00:07,641 | WARNING |   [BT.A.L] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2026-01-02 23:00:08,295 | WARNING |   [CHD] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2026-01-02 23:00:08,926 | WARNING |   [CHTR] Alpaca error: {"message":"subscription does not permit querying recent SIP data"}

2026-01-02 23:00:09,548 | WARNING |   [CI] SIP subscription error (5 consecutive)
2026-01-02 23:00:09,548 | WARNING |   EARLY TERMINATION: Alpaca SIP subscription not available
2026-01-02 23:00:09,548 | WARNING |   Skipping remaining 342 Alpaca assets - will use fallback provider
2026-01-02 23:00:09,548 | INFO | Alpaca: Updated 0 assets, 348 remaining
2026-01-02 23:00:10,196 | INFO | ============================================================
2026-01-02 23:00:10,196 | INFO | ATTEMPTING YAHOO FINANCE INGEST (Fallback Provider)
2026-01-02 23:00:10,196 | INFO | Assets: 348, Using BATCH DOWNLOAD (efficient)
2026-01-02 23:00:10,196 | INFO | ============================================================
2026-01-02 23:00:10,196 | INFO |   Checking Yahoo Finance rate limit status...
2026-01-02 23:00:23,227 | ERROR | 
1 Failed download:
2026-01-02 23:00:23,227 | ERROR | ['AAPL']: YFRateLimitError('Too Many Requests. Rate limited. Try after a while.')
2026-01-02 23:00:23,282 | WARNING |   RATE LIMITED - Yahoo Finance is currently blocking requests
2026-01-02 23:00:23,282 | WARNING |   Skipping Yahoo and marking all assets as failed
2026-01-02 23:00:23,283 | INFO | Yahoo: Updated 0 assets, 348 remaining
2026-01-02 23:00:23,284 | INFO | ============================================================
2026-01-02 23:00:23,284 | INFO | ATTEMPTING TWELVEDATA EQUITY INGEST (Backup Provider)
2026-01-02 23:00:23,284 | INFO | Assets: 348, Rate limit: 7/min (90% of free tier)
2026-01-02 23:00:23,284 | INFO | Daily limit: 720 calls (90% of 800)
2026-01-02 23:00:23,284 | INFO | ============================================================
2026-01-02 23:00:23,285 | INFO |   Equity assets: 348, Non-equity: 0
2026-01-02 23:00:24,126 | WARNING |   [1COV.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:00:34,616 | WARNING |   [BRK.B] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:00:57,113 | WARNING |   [CHD] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:01:06,958 | WARNING |   [CHTR] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:01:17,879 | WARNING |   [CI] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:01:27,481 | WARNING |   [CL] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:01:38,912 | WARNING |   [CLX] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:01:48,705 | WARNING |   [CMCSA] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:02:03,148 | WARNING |   [CME] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:02:12,490 | WARNING |   [CMG] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:02:23,498 | WARNING |   [COF] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:02:32,972 | WARNING |   [COIN] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:02:42,663 | WARNING |   [CON.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:02:52,142 | WARNING |   [COP] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:03:01,904 | WARNING |   [COST] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:03:21,842 | WARNING |   [CRM] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:03:31,387 | WARNING |   [CRWD] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:03:50,371 | WARNING |   [CSX] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:03:59,442 | WARNING |   [CTAS] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:09,486 | WARNING |   [CTVA] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:18,594 | WARNING |   [CVS] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:27,722 | WARNING |   [CVX] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:36,814 | WARNING |   [D] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:46,000 | WARNING |   [DAL] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:04:55,174 | WARNING |   [DBK.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:05:04,407 | WARNING |   [DD] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:05:13,499 | WARNING |   [DDOG] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:05:22,644 | WARNING |   [DE] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:05:31,786 | WARNING |   [DECK] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:05:59,219 | WARNING |   [DHER.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:06:08,441 | WARNING |   [DHI] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:06:17,619 | WARNING |   [DHL.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:06:26,728 | WARNING |   [DHR] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:06:35,853 | WARNING |   [DIA] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:06:44,958 | WARNING |   [DIS] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:06:54,130 | WARNING |   [DLR] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:07:12,450 | WARNING |   [DOCU] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:07:21,606 | WARNING |   [DOW] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:07:30,735 | WARNING |   [DPZ] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
2026-01-02 23:07:49,211 | WARNING |   [DTE.DE] TwelveData error: This symbol is available starting with Grow (Grow plan). Consider upgrading now at https://twelvedata.com/pricing
2026-01-02 23:07:58,561 | WARNING |   [DUK] TwelveData error: No data is available on the specified dates. Try setting different start/end dates.
