listing_id,date,open,high,low,close,adj_close,volume,price_type,resolution,data_source,adr_epoch
JNJ,2015-12-16 00:00:00-05:00,104.63999938964844,105.48999786376953,103.5199966430664,105.25,79.78974914550781,8178800,RAW,1d,yfinance,COLAB
JNJ,2015-12-17 00:00:00-05:00,105.16000366210938,105.26000213623047,103.62999725341797,103.63999938964844,78.5692138671875,8740800,RAW,1d,yfinance,COLAB
JNJ,2015-12-18 00:00:00-05:00,103.08000183105469,103.08000183105469,101.94999694824219,101.94999694824219,77.28801727294922,14966000,RAW,1d,yfinance,COLAB
JNJ,2015-12-21 00:00:00-05:00,102.33999633789062,102.91999816894531,100.8499984741211,101.58000183105469,77.00752258300781,8321900,RAW,1d,yfinance,COLAB
JNJ,2015-12-22 00:00:00-05:00,101.91000366210938,102.87999725341797,101.1500015258789,102.70999908447266,77.86418914794922,5581600,RAW,1d,yfinance,COLAB
JNJ,2015-12-23 00:00:00-05:00,103.11000061035156,103.66999816894531,102.73999786376953,103.48999786376953,78.45549011230469,5531700,RAW,1d,yfinance,COLAB
JNJ,2015-12-24 00:00:00-05:00,103.12000274658203,103.91000366210938,103.01000213623047,103.72000122070312,78.62985229492188,2546300,RAW,1d,yfinance,COLAB
JNJ,2015-12-28 00:00:00-05:00,103.18000030517578,103.47000122070312,102.93000030517578,103.22000122070312,78.25080108642578,4063000,RAW,1d,yfinance,COLAB
JNJ,2015-12-29 00:00:00-05:00,103.33999633789062,104.19000244140625,103.33999633789062,104.02999877929688,78.8648681640625,4230000,RAW,1d,yfinance,COLAB
JNJ,2015-12-30 00:00:00-05:00,104.11000061035156,104.33999633789062,103.52999877929688,103.77999877929688,78.67533111572266,3847800,RAW,1d,yfinance,COLAB
JNJ,2015-12-31 00:00:00-05:00,103.37000274658203,103.62000274658203,102.69000244140625,102.72000122070312,77.87176513671875,4592600,RAW,1d,yfinance,COLAB
JNJ,2016-01-04 00:00:00-05:00,101.70999908447266,101.80999755859375,99.44999694824219,100.4800033569336,76.17363739013672,12722800,RAW,1d,yfinance,COLAB
JNJ,2016-01-05 00:00:00-05:00,100.58000183105469,101.44000244140625,100.56999969482422,100.9000015258789,76.49203491210938,6467200,RAW,1d,yfinance,COLAB
JNJ,2016-01-06 00:00:00-05:00,99.81999969482422,100.97000122070312,99.5999984741211,100.38999938964844,76.10539245605469,7733800,RAW,1d,yfinance,COLAB
JNJ,2016-01-07 00:00:00-05:00,99.30999755859375,100.08999633789062,98.87999725341797,99.22000122070312,75.2184066772461,9433100,RAW,1d,yfinance,COLAB
JNJ,2016-01-08 00:00:00-05:00,99.87999725341797,99.94000244140625,97.8499984741211,98.16000366210938,74.41484832763672,9766700,RAW,1d,yfinance,COLAB
JNJ,2016-01-11 00:00:00-05:00,98.23999786376953,98.62999725341797,96.08000183105469,97.56999969482422,73.96756744384766,8151400,RAW,1d,yfinance,COLAB
JNJ,2016-01-12 00:00:00-05:00,97.98999786376953,98.62999725341797,97.23999786376953,98.23999786376953,74.47547912597656,6745000,RAW,1d,yfinance,COLAB
JNJ,2016-01-13 00:00:00-05:00,98.48999786376953,98.9800033569336,96.83999633789062,97.0199966430664,73.55062103271484,8290700,RAW,1d,yfinance,COLAB
JNJ,2016-01-14 00:00:00-05:00,97.0999984741211,99.47000122070312,97.0,98.88999938964844,74.9682388305664,10164300,RAW,1d,yfinance,COLAB
JNJ,2016-01-15 00:00:00-05:00,96.37000274658203,98.0,96.25,97.0,73.53543090820312,12662200,RAW,1d,yfinance,COLAB
JNJ,2016-01-19 00:00:00-05:00,97.93000030517578,98.41000366210938,96.9000015258789,97.5,73.91450500488281,12457800,RAW,1d,yfinance,COLAB
JNJ,2016-01-20 00:00:00-05:00,96.11000061035156,97.27999877929688,94.52999877929688,95.75,72.58782196044922,12685200,RAW,1d,yfinance,COLAB
