listing_id,date,open,high,low,close,adj_close,volume,price_type,resolution,data_source,adr_epoch
BRK.B,2015-12-16 00:00:00-05:00,135.49000549316406,136.1199951171875,133.10000610351562,135.8800048828125,135.8800048828125,4930300,RAW,1d,yfinance,COLAB
BRK.B,2015-12-17 00:00:00-05:00,135.7100067138672,136.16000366210938,133.89999389648438,133.97000122070312,133.97000122070312,3595900,RAW,1d,yfinance,COLAB
BRK.B,2015-12-18 00:00:00-05:00,133.0399932861328,133.1699981689453,129.52999877929688,129.52999877929688,129.52999877929688,8791500,RAW,1d,yfinance,COLAB
BRK.B,2015-12-21 00:00:00-05:00,131.16000366210938,131.69000244140625,129.64999389648438,131.19000244140625,131.19000244140625,4308400,RAW,1d,yfinance,COLAB
BRK.B,2015-12-22 00:00:00-05:00,131.5500030517578,133.3300018310547,131.0399932861328,133.13999938964844,133.13999938964844,3714500,RAW,1d,yfinance,COLAB
BRK.B,2015-12-23 00:00:00-05:00,133.35000610351562,134.42999267578125,133.1999969482422,134.14999389648438,134.14999389648438,3483200,RAW,1d,yfinance,COLAB
BRK.B,2015-12-24 00:00:00-05:00,134.1199951171875,134.5500030517578,133.47999572753906,133.88999938964844,133.88999938964844,1367500,RAW,1d,yfinance,COLAB
BRK.B,2015-12-28 00:00:00-05:00,133.47999572753906,133.5399932861328,132.52000427246094,133.1199951171875,133.1199951171875,2382900,RAW,1d,yfinance,COLAB
BRK.B,2015-12-29 00:00:00-05:00,134.0,134.5500030517578,133.0,134.13999938964844,134.13999938964844,3135400,RAW,1d,yfinance,COLAB
BRK.B,2015-12-30 00:00:00-05:00,133.9199981689453,134.1199951171875,133.05999755859375,133.25999450683594,133.25999450683594,2684300,RAW,1d,yfinance,COLAB
BRK.B,2015-12-31 00:00:00-05:00,133.0,133.3699951171875,131.9499969482422,132.0399932861328,132.0399932861328,3405600,RAW,1d,yfinance,COLAB
BRK.B,2016-01-04 00:00:00-05:00,130.16000366210938,131.02999877929688,128.75999450683594,130.75,130.75,6869100,RAW,1d,yfinance,COLAB
BRK.B,2016-01-05 00:00:00-05:00,130.75,131.52999877929688,129.80999755859375,131.25,131.25,4084600,RAW,1d,yfinance,COLAB
BRK.B,2016-01-06 00:00:00-05:00,129.99000549316406,131.75999450683594,129.72999572753906,131.3300018310547,131.3300018310547,5219400,RAW,1d,yfinance,COLAB
BRK.B,2016-01-07 00:00:00-05:00,129.25,130.5399932861328,129.0,129.47999572753906,129.47999572753906,7382000,RAW,1d,yfinance,COLAB
